Income Level,Units,RHNA,Percent,Projected Units,On Track Score,Status,Jurisdiction,Geographic Level,County,Region,Cycle,Planning Period,Planning Period Start,Planning Period End,Cycle Started,Snapshot Date,Most Recent,Total Days,Elapsed Days,Percent Elapsed,Tiers Met,Tiers With Goal,Overall Progress,Overall On Track Score,Overall Category,Source Last Updated
Total,1262,39,32.35897435897436,1262.0,32.35897435897436,Met,Aliso Viejo,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,3,4,0.75,0.75,Behind,2026-07-15 12:00:00
Very Low,83,9,9.22,83.0,9.222222222222221,Met,Aliso Viejo,City,Orange,Los Angeles (Regional),5,10/15/2013 - 10/15/2021,2013-10-15,2021-10-15,True,2026-07-15,True,2922,4656,1.593429158110883,3,4,0.75,0.75,Behind,2026-07-15 12:00:00
Above Moderate,2,386,0.01,3.370242214532872,0.008731197446976353,Far Off Track,Aliso Viejo,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.002514848982686718,0.004237825102312912,Far Off Track,2026-07-15 12:00:00
Low,0,214,0.0,0.0,0.0,Far Off Track,Aliso Viejo,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.002514848982686718,0.004237825102312912,Far Off Track,2026-07-15 12:00:00
Moderate,1,205,0.0,1.685121107266436,0.008220102962275298,Far Off Track,Aliso Viejo,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.002514848982686718,0.004237825102312912,Far Off Track,2026-07-15 12:00:00
Total,3,1195,0.002510460251046025,5.055363321799308,0.004230429557991053,Far Off Track,Aliso Viejo,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.002514848982686718,0.004237825102312912,Far Off Track,2026-07-15 12:00:00
Very Low,0,390,0.0,0.0,0.0,Far Off Track,Aliso Viejo,City,Orange,Los Angeles (Regional),6,10/15/2021 - 10/15/2029,2021-10-15,2029-10-15,True,2026-07-15,True,2922,1734,0.5934291581108829,0,4,0.002514848982686718,0.004237825102312912,Far Off Track,2026-07-15 12:00:00
Above Moderate,10,11,0.91,10.0,0.9090909090909091,Behind,Alpine County,County,Alpine,South San Joaquin Valley,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.5189393939393939,0.5189393939393939,Behind,2026-07-15 12:00:00
Low,3,6,0.5,3.0,0.5,Behind,Alpine County,County,Alpine,South San Joaquin Valley,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.5189393939393939,0.5189393939393939,Behind,2026-07-15 12:00:00
Moderate,4,6,0.67,4.0,0.6666666666666666,Behind,Alpine County,County,Alpine,South San Joaquin Valley,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.5189393939393939,0.5189393939393939,Behind,2026-07-15 12:00:00
Total,17,30,0.5666666666666667,17.0,0.5666666666666667,Behind,Alpine County,County,Alpine,South San Joaquin Valley,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.5189393939393939,0.5189393939393939,Behind,2026-07-15 12:00:00
Very Low,0,7,0.0,0.0,0.0,Behind,Alpine County,County,Alpine,South San Joaquin Valley,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,0,4,0.5189393939393939,0.5189393939393939,Behind,2026-07-15 12:00:00
Above Moderate,33,0,0.0,33.0,,No Allocation,Alpine County,County,Alpine,South San Joaquin Valley,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,0,2,0.0,0.0,Behind,2026-07-15 12:00:00
Low,0,1,0.0,0.0,0.0,Behind,Alpine County,County,Alpine,South San Joaquin Valley,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,0,2,0.0,0.0,Behind,2026-07-15 12:00:00
Moderate,2,0,0.0,2.0,,No Allocation,Alpine County,County,Alpine,South San Joaquin Valley,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,0,2,0.0,0.0,Behind,2026-07-15 12:00:00
Total,35,2,17.5,35.0,17.5,Met,Alpine County,County,Alpine,South San Joaquin Valley,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,0,2,0.0,0.0,Behind,2026-07-15 12:00:00
Very Low,0,1,0.0,0.0,0.0,Behind,Alpine County,County,Alpine,South San Joaquin Valley,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,0,2,0.0,0.0,Behind,2026-07-15 12:00:00
Above Moderate,0,2,0.0,0.0,0.0,Behind,Alturas,City,Modoc,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,2,4,0.5,0.5,Behind,2026-07-15 12:00:00
Low,5,1,5.0,5.0,5.0,Met,Alturas,City,Modoc,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,2,4,0.5,0.5,Behind,2026-07-15 12:00:00
Moderate,0,1,0.0,0.0,0.0,Behind,Alturas,City,Modoc,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,2,4,0.5,0.5,Behind,2026-07-15 12:00:00
Total,9,5,1.8,9.0,1.8,Met,Alturas,City,Modoc,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,2,4,0.5,0.5,Behind,2026-07-15 12:00:00
Very Low,4,1,4.0,4.0,4.0,Met,Alturas,City,Modoc,Far North,5,06/30/2014 - 06/30/2019,2014-06-30,2019-06-30,True,2026-07-15,True,1826,4398,2.4085432639649507,2,4,0.5,0.5,Behind,2026-07-15 12:00:00
Above Moderate,1,3,0.33,1.0,0.3333333333333333,Behind,Alturas,City,Modoc,Far North,6,08/31/2019 - 06/30/2024,2019-08-31,2024-06-30,True,2026-07-15,True,1765,2510,1.4220963172804533,2,4,0.5833333333333334,0.5833333333333334,Behind,2026-07-15 12:00:00
