Geographic Level,Location,Date,Total,1 Unit,2 Units,3 and 4 Units,5 Units or More
Metro,Stockton,2010-07,70,70,0,0,0
Metro,Vallejo,2010-07,36,36,0,0,0
Metro,Ventura,2010-07,14,9,0,0,5
Metro,Visalia,2010-07,59,57,2,0,0
Metro,Yuba City,2010-07,8,8,0,0,0
State,Alabama,2010-07,731,645,2,59,25
State,Alaska,2010-07,91,91,0,0,0
State,Arizona,2010-07,942,882,10,16,34
State,Arkansas,2010-07,508,320,32,12,144
State,California,2010-07,3756,2151,32,81,1492
State,Colorado,2010-07,862,820,6,11,25
State,Connecticut,2010-07,296,200,6,3,87
State,Delaware,2010-07,276,211,0,7,58
State,Florida,2010-07,2894,2487,14,31,362
State,Georgia,2010-07,1690,1131,2,7,550
State,Hawaii,2010-07,144,144,0,0,0
State,Idaho,2010-07,317,317,0,0,0
State,Illinois,2010-07,772,675,16,16,65
State,Indiana,2010-07,1339,893,32,8,406
State,Iowa,2010-07,667,496,16,0,155
State,Kansas,2010-07,458,304,10,3,141
State,Kentucky,2010-07,601,440,8,75,78
State,Louisiana,2010-07,840,783,14,6,37
State,Maine,2010-07,315,285,4,0,26
State,Maryland,2010-07,1126,688,16,0,422
State,Massachusetts,2010-07,853,470,24,4,355
State,Michigan,2010-07,787,657,2,30,98
State,Minnesota,2010-07,743,675,2,12,54
State,Mississippi,2010-07,322,275,6,16,25
State,Missouri,2010-07,638,483,30,20,105
State,Montana,2010-07,188,168,2,10,8
State,Nebraska,2010-07,343,330,4,4,5
State,Nevada,2010-07,455,449,0,6,0
State,New Hampshire,2010-07,179,150,8,14,7
State,New Jersey,2010-07,1098,725,108,19,246
State,New Mexico,2010-07,508,352,0,3,153
State,New York,2010-07,1753,917,120,95,621
State,North Carolina,2010-07,3191,2138,14,6,1033
State,North Dakota,2010-07,431,183,4,12,232
State,Ohio,2010-07,1569,1148,2,116,303
State,Oklahoma,2010-07,698,568,4,0,126
State,Oregon,2010-07,537,495,4,14,24
State,Pennsylvania,2010-07,1531,1307,100,13,111
State,Rhode Island,2010-07,58,58,0,0,0
State,South Carolina,2010-07,1192,1052,4,7,129
State,South Dakota,2010-07,257,197,0,4,56
State,Tennessee,2010-07,985,916,12,19,38
State,Texas,2010-07,7343,5396,30,57,1860
State,Utah,2010-07,658,577,6,14,61
State,Vermont,2010-07,113,102,2,4,5
State,Virginia,2010-07,2224,1518,12,8,686
State,Washington,2010-07,1621,1233,46,12,330
State,West Virginia,2010-07,126,123,0,3,0
State,Wisconsin,2010-07,1093,721,40,3,329
State,Wyoming,2010-07,200,151,2,4,43
Metro,Bakersfield,2010-08,148,120,0,0,28
Metro,Chico,2010-08,8,8,0,0,0
Metro,El Centro,2010-08,7,7,0,0,0
Metro,Fresno,2010-08,130,127,0,3,0
Metro,Hanford,2010-08,8,8,0,0,0
Metro,Inland Empire,2010-08,444,311,8,21,104
Metro,Los Angeles,2010-08,1673,350,34,21,1268
Metro,Madera,2010-08,10,10,0,0,0
Metro,Merced,2010-08,3,3,0,0,0
Metro,Modesto,2010-08,14,14,0,0,0
Metro,Napa,2010-08,1,1,0,0,0
Metro,Redding,2010-08,23,10,10,3,0
Metro,Sacramento,2010-08,195,195,0,0,0
Metro,Salinas,2010-08,4,4,0,0,0
Metro,San Diego,2010-08,219,76,2,24,117
Metro,San Francisco,2010-08,244,189,6,0,49
Metro,San Jose,2010-08,105,32,0,0,73
Metro,San Luis Obispo,2010-08,32,32,0,0,0
Metro,Santa Barbara,2010-08,11,11,0,0,0
Metro,Santa Cruz,2010-08,12,12,0,0,0
Metro,Santa Rosa,2010-08,31,31,0,0,0
Metro,Stockton,2010-08,100,92,0,0,8
Metro,Vallejo,2010-08,39,39,0,0,0
Metro,Ventura,2010-08,27,11,0,3,13
Metro,Visalia,2010-08,38,38,0,0,0
Metro,Yuba City,2010-08,8,8,0,0,0
State,Alabama,2010-08,623,615,2,0,6
State,Alaska,2010-08,127,87,4,3,33
State,Arizona,2010-08,956,877,2,3,74
State,Arkansas,2010-08,845,310,18,7,510
State,California,2010-08,3633,1835,60,78,1660
State,Colorado,2010-08,889,837,16,11,25
State,Connecticut,2010-08,239,198,8,0,33
State,Delaware,2010-08,205,176,6,0,23
State,Florida,2010-08,3196,2628,20,33,515
State,Georgia,2010-08,1382,1151,4,4,223
State,Hawaii,2010-08,306,147,4,11,144
State,Idaho,2010-08,265,258,2,0,5
State,Illinois,2010-08,1008,669,12,35,292
State,Indiana,2010-08,949,856,20,11,62
State,Iowa,2010-08,525,463,10,11,41
State,Kansas,2010-08,413,277,36,3,97
State,Kentucky,2010-08,640,531,16,7,86
State,Louisiana,2010-08,921,843,26,12,40
State,Maine,2010-08,280,257,2,3,18
State,Maryland,2010-08,1265,741,2,3,519
State,Massachusetts,2010-08,721,467,12,10,232
State,Michigan,2010-08,984,874,4,43,63
State,Minnesota,2010-08,1007,649,6,39,313
State,Mississippi,2010-08,480,328,10,11,131
