Year,Geographic Level,Location,Race/Ethnicity,Tenure,Number Over 30%,Number Over 50%,Share Over 30%,Share Over 50%
2024,County,Del Norte,Multiracial,Rented,1053,566,0.40924990283715507,0.21997668091721725
2024,County,Del Norte,Multiracial,Total,1356,696,0.2321917808219178,0.11917808219178082
2024,County,Del Norte,Other,Owned,177,122,0.15271786022433131,0.10526315789473684
2024,County,Del Norte,Other,Owned With Mortgage,177,122,0.2653673163418291,0.18290854572713644
2024,County,Del Norte,Other,Owned Without Mortgage,0,0,0.0,0.0
2024,County,Del Norte,Other,Rented,99,33,0.22706422018348624,0.07568807339449542
2024,County,Del Norte,Other,Total,276,155,0.17304075235109717,0.09717868338557993
2024,County,Del Norte,White,Owned,6838,3378,0.2515913021082453,0.12428713344861841
2024,County,Del Norte,White,Owned With Mortgage,4537,2193,0.3386579084869747,0.1636933641860118
2024,County,Del Norte,White,Owned Without Mortgage,2301,1185,0.16695690030474533,0.08598171528080105
2024,County,Del Norte,White,Rented,4820,2192,0.4762845849802372,0.216600790513834
2024,County,Del Norte,White,Total,11658,5570,0.3125552963886431,0.14933376229925735
2024,County,El Dorado,All,Owned,18387,9100,0.2936563707796978,0.1453349091257546
2024,County,El Dorado,All,Owned With Mortgage,14875,7012,0.3631946479148354,0.17120812579353453
2024,County,El Dorado,All,Owned Without Mortgage,3512,2088,0.16215717056053192,0.09640779388678548
2024,County,El Dorado,All,Rented,7529,3951,0.4367676064508644,0.2292029237730595
2024,County,El Dorado,All,Total,25916,13051,0.32455041827380654,0.16343986374793368
2024,County,El Dorado,Asian,Owned,888,414,0.23705285638013882,0.11051788574479444
2024,County,El Dorado,Asian,Owned With Mortgage,737,343,0.2891329933307179,0.13456257355825815
2024,County,El Dorado,Asian,Owned Without Mortgage,151,71,0.1261487050960735,0.059314954051796154
2024,County,El Dorado,Asian,Rented,0,0,0.0,0.0
2024,County,El Dorado,Asian,Total,888,414,0.21969322117763485,0.1024245423057892
2024,County,El Dorado,Hispanic,Owned,1847,1068,0.32021497919556174,0.18515950069348128
2024,County,El Dorado,Hispanic,Owned With Mortgage,1756,1003,0.3699178428481146,0.21129134190014745
2024,County,El Dorado,Hispanic,Owned Without Mortgage,91,65,0.089128305582762,0.06366307541625857
2024,County,El Dorado,Hispanic,Rented,1034,471,0.45430579964850615,0.2069420035149385
2024,County,El Dorado,Hispanic,Total,2881,1539,0.3581551466931875,0.19132272501243164
2024,County,El Dorado,Multiracial,Owned,1599,972,0.3042237442922374,0.18493150684931506
2024,County,El Dorado,Multiracial,Owned With Mortgage,1491,864,0.3926784303397419,0.2275480642612589
2024,County,El Dorado,Multiracial,Owned Without Mortgage,108,108,0.07402330363262509,0.07402330363262509
2024,County,El Dorado,Multiracial,Rented,850,709,0.5964912280701754,0.4975438596491228
2024,County,El Dorado,Multiracial,Total,2449,1681,0.36656189193234545,0.25160904056279
2024,County,El Dorado,Other,Owned,36,0,0.030874785591766724,0.0
2024,County,El Dorado,Other,Owned With Mortgage,36,0,0.04285714285714286,0.0
2024,County,El Dorado,Other,Owned Without Mortgage,0,0,0.0,0.0
2024,County,El Dorado,Other,Rented,627,252,0.4271117166212534,0.17166212534059946
2024,County,El Dorado,Other,Total,663,252,0.2517084282460137,0.09567198177676538
2024,County,El Dorado,White,Owned,14605,7249,0.29822555285565516,0.14802033773712045
2024,County,El Dorado,White,Owned With Mortgage,11445,5340,0.3699334152175318,0.17260327105824552
2024,County,El Dorado,White,Owned Without Mortgage,3160,1909,0.1752148599944552,0.1058497366232326
2024,County,El Dorado,White,Rented,5689,2754,0.4251550706225245,0.20581421418429116
2024,County,El Dorado,White,Total,20294,10003,0.3254642845687526,0.16042274753824934
2024,County,Fresno,AIAN,Owned,588,360,0.27722772277227725,0.16973125884016974
2024,County,Fresno,AIAN,Owned With Mortgage,390,245,0.3217821782178218,0.20214521452145215
2024,County,Fresno,AIAN,Owned Without Mortgage,198,115,0.21782178217821782,0.1265126512651265
2024,County,Fresno,AIAN,Rented,1007,540,0.36314460872701043,0.19473494410385864
2024,County,Fresno,AIAN,Total,1595,900,0.32590927666530445,0.18389865140988967
2024,County,Fresno,All,Owned,53349,24111,0.28539407588896437,0.12898342169035634
2024,County,Fresno,All,Owned With Mortgage,41689,17390,0.34723471597534566,0.14484424454439446
2024,County,Fresno,All,Owned Without Mortgage,11660,6721,0.17436556952939242,0.10050694620986676
2024,County,Fresno,All,Rented,76718,42396,0.5308138851026437,0.29333905306201524
2024,County,Fresno,All,Total,130067,66507,0.39240632353828514,0.20064864538707536
2024,County,Fresno,Asian,Owned,5751,3606,0.2784044149682916,0.17456552258314373
2024,County,Fresno,Asian,Owned With Mortgage,5040,3177,0.34837906960669107,0.21960323494850348
